description,category
Grocery shopping at Walmart,Food
Monthly rent payment,Rent
Netflix subscription,Entertainment
Electricity bill payment,Utilities
Uber to office,Transport
Dinner at restaurant,Food
Doctor visit and prescription,Health
Amazon purchase Shopping,Shopping
Online course fee,Education
Salary credit,Salary
Coffee and lunch,Food
Water bill,Utilities
Bus fare to city,Transport
Spotify subscription,Entertainment
Supermarket groceries,Food
Landlord rent,Rent
Gas station fuel,Transport
Pharmacy medicine,Health
Gym membership,Health
Movie tickets,Entertainment
Pizza delivery,Food
Internet bill,Utilities
Taxi ride,Transport
Books from bookstore,Education
Freelance payment received,Salary
Breakfast cafe,Food
Gas utility bill,Utilities
Train ticket,Transport
Netflix and chill,Entertainment
Weekly groceries,Food
Apartment rent,Rent
Car parking fee,Transport
Doctor consultation,Health
Electronics purchase,Shopping
University tuition,Education
Monthly salary,Salary
Lunch with colleagues,Food
Mobile recharge,Utilities
Metro card recharge,Transport
Concert tickets,Entertainment
Vegetables and fruits,Food
House rent,Rent
Oil change and car service,Transport
Hospital bill,Health
Clothing store,Shopping
Online certification,Education
Bonus payment,Salary
Fast food meal,Food
Cable TV bill,Utilities
Bike rental,Transport
Streaming subscription,Entertainment
Bakery and snacks,Food
Room rent,Rent
Flight booking,Transport
Dental checkup,Health
Furniture shopping,Shopping
Workshop fee,Education
Part-time income,Salary
Restaurant dinner,Food
Heating bill,Utilities
Subway fare,Transport
Video game purchase,Entertainment
Milk and bread,Food
Studio rent,Rent
Parking ticket,Transport
Vitamin supplements,Health
Gift purchase,Shopping
Language course,Education
Consulting fee,Salary
Food delivery order,Food
Sewage bill,Utilities
Lyft ride,Transport
Theater show,Entertainment
Farmers market,Food
Lease payment,Rent
Car wash,Transport
Physiotherapy,Health
Home decor,Shopping
Textbook purchase,Education
Overtime pay,Salary
Cafeteria lunch,Food
Trash collection fee,Utilities
Airport transfer,Transport
Museum entry,Entertainment
Kitchen supplies,Food
Rent deposit,Rent
Bicycle repair,Transport
Eye checkup,Health
Shoe store,Shopping
Training program,Education
Commission earned,Salary
Takeout food,Food
Solar panel bill,Utilities
Rideshare to meeting,Transport
Bowling night,Entertainment
Organic food store,Food
Monthly housing rent,Rent
Toll fee,Transport
Lab tests,Health
Department store,Shopping
Certification exam,Education
Dividend income,Salary
Sandwich and coffee,Food
Maintenance fee utilities,Utilities
Car rental,Transport
Theme park,Entertainment
Bulk groceries,Food
Tenant rent,Rent
Public transport pass,Transport
Medical insurance,Health
Online shopping,Shopping
MBA course fee,Education
Stocks dividend,Salary
Brunch outing,Food
Property tax,Utilities
Flight to conference,Transport
Cinema movie,Entertainment
Weekly market,Food
Rent for December,Rent
Petrol for car,Transport
Prescription drugs,Health
Black Friday sale,Shopping
Programming bootcamp,Education
Side hustle income,Salary
Street food,Food
Council tax,Utilities
Boat ferry,Transport
Karaoke night,Entertainment
Breakfast buffet,Food
Shared apartment rent,Rent
Scooter rental,Transport
Health screening,Health
Electronics sale,Shopping
Data science course,Education
Refund received,Salary
Food court meal,Food
Drainage charge,Utilities
Intercity bus,Transport
Comedy show,Entertainment
Dairy products,Food
Rent payment due,Rent
Parking meter,Transport
Specialist doctor,Health
Fashion outlet,Shopping
Webinar registration,Education
Gig economy pay,Salary
Lunch break food,Food
Standing charge utilities,Utilities
Cab to airport,Transport
Sports event ticket,Entertainment
Meal prep ingredients,Food
First month rent,Rent
Highway toll,Transport
Blood test,Health
Jewelry purchase,Shopping
Professional course,Education
Performance bonus,Salary
Snacks and beverages,Food
Green energy surcharge,Utilities
Shuttle service,Transport
Festival ticket,Entertainment
Butcher and fish,Food
