description,category
Fast food meal 145,Food
Street food,Food
Lunch with colleagues,Food
Weekly groceries,Food
Coffee and lunch 116,Food
Brunch outing,Food
Dinner at restaurant,Food
Organic food store,Food
Snacks and beverages,Food
Grocery shopping at Walmart,Food
Food delivery order,Food
Food and drinks,Food
Sandwich and coffee,Food
Food and drinks 199,Food
Lunch with colleagues,Food
Hotel breakfast,Food
Coffee and lunch,Food
Fast food meal,Food
Catering order 155,Food
Meal prep ingredients,Food
Breakfast cafe 121,Food
Food truck,Food
Brunch outing,Food
Catering order,Food
Meal prep ingredients 186,Food
Sandwich and coffee,Food
Breakfast cafe,Food
Food delivery order,Food
Street food 199,Food
Snacks and beverages,Food
Brunch outing,Food
Pizza delivery,Food
Coffee and lunch,Food
Bulk groceries,Food
Sandwich and coffee,Food
Dessert and coffee,Food
Coffee shop,Food
Supermarket groceries 76,Food
Street food,Food
Lunch break food,Food
Bakery and snacks,Food
Bulk groceries,Food
Restaurant dinner,Food
Weekly groceries,Food
Fast food meal 86,Food
Bakery and snacks,Food
Catering order,Food
Supermarket groceries,Food
Grocery shopping at Walmart,Food
Fast food meal,Food
Snacks and beverages,Food
Food and drinks 227,Food
Food delivery order,Food
Lunch break food,Food
Cafeteria lunch,Food
Lunch with colleagues,Food
Office cafeteria,Food
Grocery run,Food
Milk and bread,Food
Food delivery order,Food
Vending machine,Food
Dessert and coffee,Food
Fast food meal,Food
Office cafeteria,Food
Street food,Food
Weekly groceries 253,Food
Breakfast cafe,Food
Restaurant dinner 248,Food
Food delivery order,Food
Bakery and snacks,Food
Takeout food,Food
Bulk groceries,Food
Meal prep ingredients,Food
Vending machine,Food
Street food,Food
Food and drinks 288,Food
Brunch outing,Food
Grocery shopping at Walmart 328,Food
Pizza delivery,Food
Coffee and lunch,Food
Breakfast cafe,Food
Snacks and beverages,Food
Sandwich and coffee,Food
Kitchen supplies,Food
Kitchen supplies,Food
Takeout food 342,Food
Bakery and snacks,Food
Organic food store,Food
Pizza delivery,Food
Lunch with colleagues 377,Food
Food and drinks,Food
Lunch with colleagues,Food
Takeout food,Food
Restaurant dinner,Food
